id,citation,pmid,status,pdf_filename,pdf_url,note
M04,"Stolwijk AM, Straatman H, Zielhuis GA. J Epidemiol Community Health. 1999.",10396550,downloaded,M04_Stolwijk_Straatman_Zielhuis_1999_Studying_seasonality_using_sine_and_cosine_functions_in_regression_analysis.pdf,https://europepmc.org/articles/PMC1756865?pdf=render,Free full text via Europe PMC
M07,"Cornelissen G. Theor Biol Med Model. 2014.",24725531,downloaded,M07_Cornelissen_2014_Cosinor_based_rhythmometry.pdf,https://europepmc.org/articles/PMC3991883?pdf=render,Open-access full text via Europe PMC
