device=cpu
step=170 max_u=1.0000e+00 c_mean=1.4688e+01 c_y=6.5665e+00 c_m=8.1216e+00 g_mean=2.4544e+00 p_mean=0.5248 tgf_mean=1.0000 chemo_mean=0.0141 smad_mean=0.7787 erk_mean=0.5668 infl_mean=0.0000 scar_mean=0.0000 myo_frac=0.9875 a_align_x=0.8307 ac_align_x=0.9074 model=linear
step=180 max_u=1.0000e+00 c_mean=1.5431e+01 c_y=6.6511e+00 c_m=8.7796e+00 g_mean=2.7305e+00 p_mean=0.5249 tgf_mean=1.0000 chemo_mean=0.0145 smad_mean=0.7787 erk_mean=0.5668 infl_mean=0.0000 scar_mean=0.0000 myo_frac=0.9875 a_align_x=0.8437 ac_align_x=0.9161 model=linear
step=190 max_u=1.0000e+00 c_mean=1.6161e+01 c_y=6.7245e+00 c_m=9.4366e+00 g_mean=3.0186e+00 p_mean=0.5249 tgf_mean=1.0000 chemo_mean=0.0148 smad_mean=0.7787 erk_mean=0.5669 infl_mean=0.0000 scar_mean=0.0000 myo_frac=0.9875 a_align_x=0.8553 ac_align_x=0.9249 model=linear
step=200 max_u=1.0000e+00 c_mean=1.6870e+01 c_y=6.7790e+00 c_m=1.0091e+01 g_mean=3.3182e+00 p_mean=0.5250 tgf_mean=1.0000 chemo_mean=0.0151 smad_mean=0.7787 erk_mean=0.5669 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.8664 ac_align_x=0.9336 model=linear
step=210 max_u=1.0000e+00 c_mean=1.7557e+01 c_y=6.8164e+00 c_m=1.0740e+01 g_mean=3.6286e+00 p_mean=0.5251 tgf_mean=1.0000 chemo_mean=0.0155 smad_mean=0.7787 erk_mean=0.5669 infl_mean=0.0000 scar_mean=0.0000 myo_frac=0.9875 a_align_x=0.8769 ac_align_x=0.9405 model=linear
step=220 max_u=1.0000e+00 c_mean=1.8240e+01 c_y=6.8557e+00 c_m=1.1384e+01 g_mean=3.9495e+00 p_mean=0.5251 tgf_mean=1.0000 chemo_mean=0.0157 smad_mean=0.7787 erk_mean=0.5670 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.8855 ac_align_x=0.9457 model=linear
step=230 max_u=1.0000e+00 c_mean=1.8911e+01 c_y=6.8891e+00 c_m=1.2022e+01 g_mean=4.2807e+00 p_mean=0.5251 tgf_mean=1.0000 chemo_mean=0.0159 smad_mean=0.7787 erk_mean=0.5670 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.8937 ac_align_x=0.9498 model=linear
step=240 max_u=1.0000e+00 c_mean=1.9569e+01 c_y=6.9157e+00 c_m=1.2653e+01 g_mean=4.6219e+00 p_mean=0.5251 tgf_mean=1.0000 chemo_mean=0.0161 smad_mean=0.7787 erk_mean=0.5670 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.9011 ac_align_x=0.9542 model=linear
step=250 max_u=1.0000e+00 c_mean=2.0212e+01 c_y=6.9347e+00 c_m=1.3277e+01 g_mean=4.9725e+00 p_mean=0.5251 tgf_mean=1.0000 chemo_mean=0.0162 smad_mean=0.7787 erk_mean=0.5670 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.9075 ac_align_x=0.9588 model=linear
step=260 max_u=1.0000e+00 c_mean=2.0838e+01 c_y=6.9453e+00 c_m=1.3893e+01 g_mean=5.3324e+00 p_mean=0.5250 tgf_mean=1.0000 chemo_mean=0.0162 smad_mean=0.7787 erk_mean=0.5670 infl_mean=0.0000 scar_mean=0.0000 myo_frac=1.0000 a_align_x=0.9137 ac_align_x=0.9628 model=linear
